EDT,kW_Gen,Cloud_Cover
2014/10/05,0.5534101623,4.75
2014/10/12,0.4870931108,5.3435748302
2014/10/19,0.733748438,2.2857142857
2014/10/26,0.5312504099,4.915070616
2014/11/02,0.47105456,5.5191032609
2014/11/09,0.3941787277,5.7220910477
2014/11/16,0.3297397143,5.0208087132
2014/11/23,0.1882974858,6.5714285714
2014/11/30,0.261525583,6.0285185594
2014/12/07,0.3203839947,4.5232838941
2014/12/14,0.27252035,5.1967499832
2014/12/21,0.2318744831,6.2679345291
2014/12/28,0.1851007869,6.4007236448
2015/01/04,0.3390673748,4.4864504887
2015/01/11,0.2581842447,6.0822088118
2015/01/18,0.3689676671,5.2327308133
2015/01/25,0.4521575297,4.3945011266
2015/02/01,0.5235276839,5.0056142294
2015/02/08,0.4985587089,4.4897905403
2015/02/15,0.4224825526,4.7135760007
2015/02/22,0.17299999,6.5579212646
2015/03/01,0.4994984708,5.8161062352
2015/03/08,0.4607463169,6.2425259693
2015/03/15,0.6400241686,5.8226522717
2015/03/22,0.5941627683,5.9496761638
2015/03/29,0.8446479069,3.3049685394
2015/04/05,0.6629752623,6.010093227
2015/04/12,0.5012889146,6.1539091864
2015/04/19,0.6312348003,4.9402061825
2015/04/26,0.5728168875,5.4302086911
2015/05/03,0.7914127311,3.9700812896
2015/05/10,0.6849242869,5.5108133742
2015/05/17,0.7083748635,4.9016026505
2015/05/24,0.7057095344,4.3529190592
2015/05/31,0.4944598626,5.7308915233
2015/06/07,0.6963111411,4.5500637558
2015/06/14,0.7835210817,4.2154977289
2015/06/21,0.6669267417,4.9637984527
2015/06/28,0.6214375846,5.4354196842
2015/07/05,0.7013611328,4.1421313475
2015/07/12,0.5593143412,5.6072488809
2015/07/19,0.648016027,5.4060127692
